sample_idx,ldm_dps
0,0.02995295
1,0.03487019
2,0.05737762
3,0.04817891
4,0.02717763
5,0.07155299
6,0.04263565
7,0.03990018
8,0.06512430
9,0.16332285
10,0.05814120
11,0.08623145
12,0.05061043
13,0.05685670
14,0.03126052
15,0.03661520
16,0.06917021
17,0.07315900
18,0.05700662
19,0.03673992
20,0.02832276
21,0.04357281
22,0.06703766
23,0.03478447
24,0.05056242
25,0.03813774
26,0.04303854
27,0.03472438
28,0.03255538
29,0.07495648
30,0.04835755
31,0.04819934
32,0.08969148
33,0.02562458
34,0.04328438
35,0.04093091
36,0.02955843
37,0.03841668
38,0.04475434
39,0.04149071
40,0.06543817
41,0.05959868
42,0.06372375
43,0.06783388
44,0.05400485
45,0.07696110
46,0.05743032
47,0.04336968
48,0.04347115
49,0.04762029
