seed,test_idx,DDIM_eta0_rmse,DDIM_eta0_time,DDIM_eta1_rmse,DDIM_eta1_time
0,0,0.15673597157001495,1.4636306280153804,0.09336555004119873,1.023424131970387
7,7,0.11213420331478119,1.076160503027495,0.1498357206583023,1.0719337949994951
14,14,0.1536300927400589,1.0287607460049912,0.07407024502754211,1.041891028988175
21,21,0.1681835651397705,1.0150499120354652,0.04684498533606529,1.0360278960433789
28,28,0.07313395291566849,1.019527843047399,0.06594949960708618,1.034315396042075
35,35,0.06520653516054153,1.015739566006232,0.10094961524009705,1.0359349329955876
42,42,0.21312180161476135,1.0205714449984953,0.15416358411312103,1.041078360984102
49,49,0.19553226232528687,1.0186311150318943,0.16242074966430664,1.020372650003992
56,56,0.21664074063301086,1.0055578559986316,0.13395783305168152,1.0344803009647876
63,63,0.16711418330669403,1.0345874920021743,0.10175365209579468,1.0444816470262595
70,70,0.1251600980758667,1.0451728830230422,0.11326747387647629,1.0364445309969597
77,77,0.10412994027137756,1.0207602129667066,0.0999951884150505,1.060290186025668
84,84,0.16626402735710144,1.025973835028708,0.0829753503203392,1.0357078979723155
91,91,0.19396351277828217,1.0223816420184448,0.12668359279632568,1.039326624944806
98,98,0.09169276058673859,1.041990135970991,0.1518813669681549,1.0410060320282355
105,105,0.11164530366659164,1.0383656889898703,0.10274392366409302,1.0284375619958155
112,112,0.16725172102451324,1.0387644770089537,0.054634347558021545,1.054697962012142
119,119,0.10793143510818481,1.0411653280025348,0.12938588857650757,1.0453065300243907
126,126,0.06771101802587509,1.023703841958195,0.05370049178600311,1.0274671300430782
133,133,0.07351649552583694,1.020103680959437,0.06644853949546814,0.8970155839924701
