seed,test_idx,DDIM+DPS_e0_z0.5_rmse,DDIM+DPS_e0_z0.5_time,DDIM+DPS_e0_z0.04_rmse,DDIM+DPS_e0_z0.04_time,DDIM+DPS_e1_z0.5_rmse,DDIM+DPS_e1_z0.5_time,DDIM+DPS_e1_z0.04_rmse,DDIM+DPS_e1_z0.04_time
0,0,0.18329228460788727,10.978644251008518,0.0333920456469059,7.767694343987387,0.13374075293540955,8.133407523971982,0.07606678456068039,7.388213354977779
7,7,0.1741916537284851,6.984419374959543,0.05693603679537773,8.582065813010558,0.07568591833114624,9.428894457989372,0.05905182287096977,8.86852605000604
14,14,0.12538553774356842,9.395326879050117,0.08655359596014023,8.093638691992965,0.11966630071401596,7.290141629986465,0.07501603662967682,7.029239085037261
21,21,0.11311052739620209,7.236614802968688,0.04181237146258354,7.466525154013652,0.06012574955821037,8.069320943031926,0.036204367876052856,7.101720588980243
28,28,0.14339053630828857,6.021062496001832,0.04768778383731842,7.646780606999528,0.037273962050676346,8.217750784009695,0.04851234704256058,7.400525885052048
35,35,0.20712043344974518,7.976410460018087,0.025494923815131187,8.268638041045051,0.19823452830314636,7.065748444991186,0.034499235451221466,8.214766031014733
42,42,0.20722222328186035,6.260081199987326,0.029361838474869728,6.381825605989434,0.1431364119052887,7.463497759017628,0.0424799919128418,7.100675911002327
49,49,0.24854731559753418,7.3695679969969206,0.03319652006030083,7.943358390009962,0.07666261494159698,7.659855703008361,0.07536051422357559,6.855438633006997
56,56,0.12740276753902435,8.114359023049474,0.025605950504541397,8.67178332497133,0.02632656693458557,7.791204031964298,0.03000013157725334,7.491951400996186
63,63,0.07538164407014847,8.062089673010632,0.027966346591711044,7.303108628024347,0.035256028175354004,8.10219588194741,0.039221081882715225,6.781072243000381
70,70,0.12862107157707214,7.362860660010483,0.07138027995824814,7.1095961009850726,0.07960158586502075,7.540115018025972,0.037164121866226196,6.627373598050326
77,77,0.16163985431194305,6.950375375978183,0.06513643264770508,7.058959121000953,0.12259812653064728,6.865906565042678,0.05458551645278931,6.916700585978106
84,84,0.2045193761587143,7.383186133985873,0.06470856070518494,7.520488195004873,0.1806742399930954,7.168704926036298,0.025872284546494484,6.8941249899799
91,91,0.13973622024059296,6.969164053036366,0.10770818591117859,7.987873899983242,0.11843757331371307,7.505088430014439,0.07263300567865372,7.353225258004386
98,98,0.1566104143857956,9.085817215964198,0.03360897675156593,9.46288004500093,0.06459993124008179,8.37962146801874,0.06516267359256744,7.965167204965837
105,105,0.07570325583219528,8.726280033995863,0.020213617011904716,9.28392418695148,0.024431677535176277,8.895155509002507,0.02451341785490513,7.908988682029303
112,112,0.09669704735279083,9.780180090980139,0.025020206347107887,8.884912940964568,0.026238104328513145,9.788733948022127,0.024944355711340904,9.469838079006877
119,119,0.16296406090259552,7.083799944957718,0.03288109228014946,8.294612027006224,0.20774711668491364,6.97936027002288,0.023972688242793083,7.514490724017378
126,126,0.16901738941669464,6.827444939990528,0.021818095818161964,7.79816581401974,0.17677921056747437,7.251063363975845,0.01966315321624279,7.101263982011005
133,133,0.18480782210826874,8.158767127024475,0.07147374004125595,6.9426325429813005,0.07450557500123978,7.603697040001862,0.05876229703426361,7.190549904014915
