seed,test_idx,RPr10-RMSE,RPr10-t,RPr1-RMSE,RPr1-t
0,0,0.13523772358894348,8.50968471699889,0.19792065024375916,0.789941972005181
7,7,0.0931515246629715,8.089254013000755,0.08561095595359802,0.7976100630039582
14,14,0.2113734930753708,8.111933670996223,0.07156312465667725,0.7926804119997541
21,21,0.0972699448466301,8.112303936999524,0.09884710609912872,0.8024209650029661
28,28,0.10968554019927979,8.11655077800242,0.12374705821275711,0.798117395999725
35,35,0.057385288178920746,8.119995711000229,0.12419010698795319,0.7892142439959571
42,42,0.07057712972164154,8.169185402999574,0.09798629581928253,0.7941042370002833
49,49,0.07899487018585205,8.116031548001047,0.20378178358078003,0.7909189540005173
56,56,0.05075128749012947,8.118785885999387,0.16185113787651062,0.7907574209966697
63,63,0.15248295664787292,8.145114662002015,0.07527570426464081,0.7923895200001425
70,70,0.05487272888422012,8.101862992996757,0.056125979870557785,0.7500464119948447
77,77,0.06150117143988609,7.6532451910024974,0.09935411065816879,0.7456445019997773
84,84,0.06696994602680206,7.7177840799995465,0.06850320845842361,0.758778525996604
91,91,0.07765413075685501,8.016437144993688,0.11868513375520706,0.7924188339966349
98,98,0.0489121712744236,8.146368952002376,0.11888706684112549,0.7855164950015023
105,105,0.07516144961118698,8.281343693000963,0.03823874890804291,0.8704286659994978
112,112,0.06699329614639282,8.404297673994733,0.07408176362514496,0.8028404349970515
119,119,0.12541142106056213,9.162695217994042,0.14522060751914978,0.82740833000571
126,126,0.0570564791560173,8.284463030999177,0.053133275359869,0.9046020899986615
133,133,0.06593631953001022,8.238543009996647,0.07263105362653732,0.8683505009976216
